"Package","LibPath","Version","Priority","Depends","Imports","LinkingTo","Suggests","Enhances","License","License_is_FOSS","License_restricts_use","OS_type","MD5sum","NeedsCompilation","Built"
"OptimalCutpoints","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","1.1-5",NA,NA,"stats, graphics",NA,NA,NA,"GPL",NA,NA,NA,NA,"no","4.4.0"
"optimParallel","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","1.0-2",NA,"R (>= 3.5), stats, parallel",NA,NA,"R.rsp, roxygen2, spam, microbenchmark, testthat, ggplot2,
numDeriv, lbfgsb3c",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.4.1"
"optimx","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","2025-4.9",NA,NA,"numDeriv, nloptr, pracma",NA,"knitr, rmarkdown, setRNG, BB, ucminf, minqa, dfoptim,
lbfgsb3c, lbfgs, subplex, marqLevAlg, testthat (>= 3.0.0),
R.rsp",NA,"GPL-2",NA,NA,NA,NA,"no","4.4.1"
"ordinal","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","2023.12-4.1",NA,"R (>= 2.13.0), stats, methods","ucminf, MASS, Matrix, numDeriv, nlme",NA,"lme4, nnet, xtable, testthat (>= 0.8), tools",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.4.1"
"org.Hs.eg.db","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","3.20.0",NA,"R (>= 2.7.0), methods, AnnotationDbi (>= 1.67.0)",NA,NA,"DBI, annotate, RUnit",NA,"Artistic-2.0",NA,NA,NA,NA,"no","4.4.0"
"org.Mm.eg.db","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","3.20.0",NA,"R (>= 2.7.0), methods, AnnotationDbi (>= 1.67.0)",NA,NA,"DBI, annotate, RUnit",NA,"Artistic-2.0",NA,NA,NA,NA,"no","4.4.0"
"OrganismDbi","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","1.48.0",NA,"R (>= 2.14.0), BiocGenerics (>= 0.15.10), AnnotationDbi (>=
1.33.15), GenomicFeatures (>= 1.39.4)","methods, utils, stats, DBI, BiocManager, Biobase, graph, RBGL,
S4Vectors, IRanges, GenomicRanges (>= 1.31.13), txdbmaker",NA,"Homo.sapiens, Rattus.norvegicus, BSgenome.Hsapiens.UCSC.hg19,
AnnotationHub, FDb.UCSC.tRNAs, mirbase.db, rtracklayer,
biomaRt, RUnit, RMariaDB, BiocStyle, knitr",NA,"Artistic-2.0",NA,NA,NA,NA,"no","4.4.1"
"osqp","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","0.6.3.3",NA,NA,"Rcpp (>= 0.12.14), methods, Matrix (>= 1.6.1), R6","Rcpp","slam, testthat",NA,"Apache License 2.0 | file LICENSE",NA,NA,NA,NA,"yes","4.4.0"
"otargen","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","2.0.0",NA,"R (>= 3.1.0)","ghql, cli, dplyr, jsonlite, magrittr, tibble, tidyr, httr",NA,"testthat (>= 3.0.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.4.1"
"otel","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","0.2.0",NA,"R (>= 3.6.0)",NA,NA,"callr, cli, glue, jsonlite, otelsdk, processx, shiny,
spelling, testthat (>= 3.0.0), utils, withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.4.0"
"outliers","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","0.15",NA,"R (>= 2.0)",NA,NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.4.1"
"packcircles","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","0.3.7",NA,"R (>= 3.2)","Rcpp (>= 1.0.0), checkmate","Rcpp (>= 1.0.0)","ggiraph (>= 0.8.4), ggplot2, knitr, rmarkdown, lpSolve",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.4.1"
"packrat","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","0.9.3",NA,"R (>= 3.0.0)","tools, utils",NA,"devtools, httr, knitr, mockery, rmarkdown, testthat (>=
3.0.0), webfakes, withr",NA,"GPL-2",NA,NA,NA,NA,"no","4.4.1"
"pacman","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","0.5.1",NA,"R (>= 3.5.0)","remotes, methods, stats, utils",NA,"BiocManager, knitr, lattice, testthat (>= 0.9.0), XML",NA,"GPL-2",NA,NA,NA,NA,"no","4.4.0"
"pagedown","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","0.23",NA,"R (>= 3.5.0)","rmarkdown (>= 2.13), bookdown (>= 0.8), htmltools, jsonlite,
later (>= 1.0.0), processx, servr (>= 0.31), httpuv, xfun,
websocket",NA,"promises, testit, xaringan, pdftools, revealjs, covr, xml2",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.4.1"
"pagoda2","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","1.0.13",NA,"R (>= 3.5.0), Matrix, igraph","dendsort, drat, fastcluster, graphics, grDevices, irlba,
magrittr, MASS, mgcv, methods, N2R, parallel, plyr, R.utils,
Rcpp, rjson, rlang, R6, RMTstat, Rook, Rtsne, sccore (>=
0.1.1), stats, urltools, utils","Rcpp, RcppArmadillo, RcppProgress, RcppEigen","AnnotationDbi, base64enc, BiocGenerics, BiocParallel,
colorRamps, data.table, dbscan, dplyr, ggplot2, GO.db,
gridExtra, KernSmooth, knitr, org.Dr.eg.db, org.Hs.eg.db,
org.Mm.eg.db, pcaMethods, pheatmap, rgl, rmarkdown, robustbase,
scde, testthat, uwot",NA,"GPL-3",NA,NA,NA,NA,"yes","4.4.1"
"pak","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","0.9.0",NA,"R (>= 3.5)","tools, utils",NA,"callr (>= 3.7.0), cli (>= 3.2.0), covr, curl (>= 4.3.2), desc
(>= 1.4.1), filelock (>= 1.0.2), gitcreds, glue (>= 1.6.2),
jsonlite (>= 1.8.0), keyring (>= 1.4.0), pingr, pkgbuild (>=
1.4.2), pkgcache (>= 2.2.4), pkgdepends (>= 0.9.0), pkgload,
pkgsearch (>= 3.1.0), processx (>= 3.8.1), ps (>= 1.6.0),
rstudioapi, testthat (>= 3.2.0), webfakes, withr, yaml",NA,"GPL-3",NA,NA,NA,NA,"yes","4.4.1"
"paletteer","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","1.6.0",NA,"R (>= 2.10)","prismatic, rematch2, rlang, rstudioapi",NA,"covr, ggplot2 (>= 3.3.0), ggthemes (>= 4.0.0), harrypotter
(>= 2.1.0), knitr, oompaBase, palr, pals, rmarkdown, scico,
testthat (>= 2.1.0), vdiffr, viridisLite",NA,"GPL-3",NA,NA,NA,NA,"no","4.4.0"
"palmerpenguins","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","0.1.1",NA,"R (>= 2.10)",NA,NA,"knitr, rmarkdown, tibble, ggplot2, dplyr, tidyr, recipes",NA,"CC0",NA,NA,NA,NA,"no","4.4.1"
"pals","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","1.10",NA,"R (>= 4.1.0)","colorspace, dichromat, graphics, grDevices, mapproj, maps,
methods, stats",NA,"classInt, ggplot2, knitr, latticeExtra, reshape2, rgl,
rmarkdown, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.4.1"
"pamr","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","1.57",NA,"R (>= 3.5)","cluster, survival",NA,NA,NA,"GPL-2",NA,NA,NA,NA,"no","4.4.0"
"pan","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","1.9",NA,"R (>= 2.10)",NA,NA,"mitools, lme4",NA,"GPL-3",NA,NA,NA,NA,"yes","4.4.1"
"paradox","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","1.0.1",NA,NA,"backports, checkmate, data.table, methods, mlr3misc (>=
0.9.4), R6",NA,"rmarkdown, mlr3learners, e1071, knitr, lhs, spacefillr,
testthat",NA,"LGPL-3",NA,NA,NA,NA,"no","4.4.0"
"parallel","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","4.4.0","base",NA,"tools, compiler",NA,"methods","snow, Rmpi","Part of R 4.4.0",NA,NA,NA,NA,"yes","4.4.0"
"parallelDist","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","0.2.6",NA,"R (>= 3.0.2)","Rcpp (>= 0.12.6), RcppParallel (>= 4.3.20)","Rcpp, RcppParallel, RcppArmadillo","dtw, ggplot2, proxy, testthat, RcppArmadillo, RcppXPtrUtils",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.4.1"
"parallelly","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","1.45.1",NA,NA,"parallel, tools, utils",NA,"commonmark, base64enc",NA,"LGPL (>= 2.1)",NA,NA,NA,NA,"yes","4.4.1"
"parallelMap","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","1.5.1",NA,"R (>= 3.0.0)","BBmisc (>= 1.8), checkmate (>= 1.8.0), parallel, stats, utils",NA,"BatchJobs (>= 1.8), batchtools (>= 0.9.6), data.table, Rmpi,
rpart, snow, testthat",NA,"BSD_2_clause + file LICENSE",NA,NA,NA,NA,"no","4.4.0"
"ParamHelpers","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","1.14.2",NA,NA,"backports, BBmisc (>= 1.10), checkmate (>= 1.8.2), fastmatch,
methods",NA,"akima, covr, eaf, emoa, GGally, ggplot2, grid, gridExtra,
irace (>= 2.1), lhs, plyr, reshape2, testthat",NA,"BSD_2_clause + file LICENSE",NA,NA,NA,NA,"yes","4.4.1"
"parsnip","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","1.3.2",NA,"R (>= 4.1)","cli, dplyr (>= 1.1.0), generics (>= 0.1.2), ggplot2, globals,
glue, hardhat (>= 1.4.1), lifecycle, magrittr, pillar,
prettyunits, purrr (>= 1.0.0), rlang (>= 1.1.0), sparsevctrs
(>= 0.2.0), stats, tibble (>= 2.1.1), tidyr (>= 1.3.0), utils,
vctrs (>= 0.6.0), withr",NA,"bench, C50, covr, dials (>= 1.1.0), earth, ggrepel, keras,
kernlab, kknn, knitr, LiblineaR, MASS, Matrix, methods, mgcv,
modeldata, nlme, prodlim, ranger (>= 0.12.0), remotes,
rmarkdown, rpart, sparklyr (>= 1.0.0), survival, tensorflow,
testthat (>= 3.0.0), xgboost (>= 1.5.0.1)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.4.1"
"party","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","1.3-18",NA,"R (>= 3.0.0), methods, grid, stats, mvtnorm (>= 1.0-2),
modeltools (>= 0.2-21), strucchange","survival (>= 2.37-7), coin (>= 1.1-0), zoo, sandwich (>=
1.1-1)","mvtnorm","TH.data (>= 1.0-3), mlbench, colorspace, MASS, vcd, ipred,
varImp, randomForest, lattice, AER",NA,"GPL-2",NA,NA,NA,NA,"yes","4.4.1"
"partykit","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","1.2-24",NA,"R (>= 3.5.0), graphics, grid, libcoin (>= 1.0-0), mvtnorm","grDevices, stats, utils, survival, Formula (>= 1.2-1), inum
(>= 1.0-0), rpart (>= 4.1-11)",NA,"XML, pmml, rJava, sandwich, strucchange, vcd, AER, mlbench,
TH.data (>= 1.0-3), coin (>= 1.1-0), RWeka (>= 0.4-19),
datasets, parallel, psychotools (>= 0.3-0), psychotree, party
(>= 1.3-0), randomForest",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.4.1"
"patchwork","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","1.3.2",NA,NA,"ggplot2 (>= 3.0.0), gtable (>= 0.3.6), grid, stats, grDevices,
utils, graphics, rlang (>= 1.0.0), cli, farver",NA,"knitr, rmarkdown, gridGraphics, gridExtra, ragg, testthat (>=
2.1.0), vdiffr, covr, png, gt (>= 0.11.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.4.1"
"pathfindR","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","2.5.1",NA,"R (>= 4.3.0), pathfindR.data (>= 2.0)","DBI, AnnotationDbi, doParallel, foreach, rmarkdown,
org.Hs.eg.db, ggplot2, ggraph, ggupset, fpc, ggkegg (>= 1.4.0),
grDevices, httr, igraph, R.utils, msigdbr (>= 24.1.0), knitr",NA,"testthat (>= 2.3.2), covr, mockery",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.4.0"
"pathfindR.data","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","2.1.0",NA,"R (>= 4.0)",NA,NA,NA,NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.4.0"
"pathview","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","1.46.0",NA,"R (>= 3.5.0)","KEGGgraph, XML, Rgraphviz, graph, png, AnnotationDbi,
org.Hs.eg.db, KEGGREST, methods, utils",NA,"gage, org.Mm.eg.db, org.EcK12.eg.db, RUnit, BiocGenerics",NA,"GPL (>=3.0)",NA,NA,NA,NA,"no","4.4.2"
"paws.common","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","0.8.5",NA,"R (>= 4.1.0)","base64enc, curl, digest, httr2 (>= 1.0.4), jsonlite, methods,
utils, stats, Rcpp, xml2","Rcpp","covr, crayon, mockery, withr, rstudioapi, testthat (>= 3.0.0)",NA,"Apache License (>= 2.0)",NA,NA,NA,NA,"yes","4.4.1"
"pbapply","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","1.7-4",NA,"R (>= 3.2.0)","parallel",NA,"shiny, future, future.apply",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.4.1"
"pbdZMQ","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","0.3-14",NA,"R (>= 3.5.0)",NA,NA,NA,NA,"GPL-3",NA,NA,NA,NA,"yes","4.4.1"
"pbivnorm","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","0.6.0",NA,NA,NA,NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.4.1"
"pbkrtest","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","0.5.5",NA,"R (>= 4.2.0), lme4 (>= 1.1.31)","broom, dplyr, MASS, methods, numDeriv, Matrix (>= 1.2.3), doBy
(>= 4.6.22)",NA,"nlme, markdown, knitr",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.4.1"
"pbmc3k.SeuratData","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","3.1.4",NA,NA,NA,NA,"Seurat (>= 3.1.4)",NA,"CC BY 4.0",NA,NA,NA,NA,"no","4.4.0"
"pbmcapply","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","1.5.1",NA,"utils, parallel",NA,NA,NA,NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.4.1"
"pcalg","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","2.7-12",NA,"R (>= 3.5.0)","stats, graphics, utils, methods, abind, graph, RBGL, igraph,
ggm, corpcor, robustbase, vcd, Rcpp, bdsmatrix, sfsmisc (>=
1.0-26), fastICA, clue","Rcpp (>= 0.11.0), RcppArmadillo, BH","MASS, Matrix, Rgraphviz, mvtnorm, huge, ggplot2, dagitty",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.4.1"
"pcaMethods","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","1.98.0",NA,"Biobase, methods","BiocGenerics, Rcpp (>= 0.11.3), MASS","Rcpp","matrixStats, lattice, ggplot2",NA,"GPL (>= 3)",NA,NA,NA,NA,"yes","4.4.1"
"pcaPP","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","2.0-5",NA,"R(>= 3.6.2)","mvtnorm, methods",NA,"robustbase",NA,"GPL (>= 3)",NA,NA,NA,NA,"yes","4.4.1"
"PCAS","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","0.1.0",NA,NA,"dplyr,
drawProteins,
ggplot2,
jsonlite,
psych,
reshape2,
shiny,
tibble,
ggpubr,
ggrepel",NA,NA,NA,"None",NA,NA,NA,NA,NA,"4.4.0"
"pdc","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","1.0.3",NA,NA,"stats, utils, grDevices, graphics",NA,"plotrix, lattice",NA,"GPL (>= 3)",NA,NA,NA,NA,"yes","4.4.0"
"pdftools","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","3.5.0",NA,NA,"Rcpp (>= 0.12.12), qpdf","Rcpp","png, webp, tesseract, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.4.1"
"peakRAM","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","1.0.2",NA,"R (>= 3.2.2)",NA,NA,"knitr, rmarkdown",NA,"GPL-2",NA,NA,NA,NA,"no","4.4.0"
"pec","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","2025.06.24",NA,"R (>= 2.9.0), prodlim (>= 1.4.9)","foreach (>= 1.4.2), rms (>= 4.2-0), survival (>= 2.37-7),
riskRegression (>= 2020.02.05), lava (>= 1.4.1), timereg (>=
1.8.9),",NA,"party, cmprsk (>= 2.2-7), rpart, Hmisc (>= 3.14-4)","randomForestSRC","GPL (>= 2)",NA,NA,NA,NA,"yes","4.4.1"
"permute","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","0.9-8",NA,"R (>= 3.6.0)","stats",NA,"vegan (>= 2.0-0), testthat (>= 0.5), parallel, knitr,
rmarkdown, bookdown, sessioninfo",NA,"GPL-2",NA,NA,NA,NA,"no","4.4.1"
"pgdraw","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","1.1",NA,NA,"Rcpp (>= 0.12.16)","Rcpp",NA,NA,"GPL (>= 3)",NA,NA,NA,NA,"yes","4.4.1"
"phangorn","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","2.12.1",NA,"ape (>= 5.8), R (>= 4.1.0)","digest, fastmatch, generics, graphics, grDevices, igraph (>=
1.0), Matrix, methods, parallel, quadprog, Rcpp, stats, utils","Rcpp","apex, Biostrings, ggseqlogo, ggplot2, knitr, magick, rgl,
rmarkdown, seqinr, testthat (>= 3.0.0), tinytest, vdiffr,
xtable",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.4.1"
"PharmacoGx","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","3.10.1",NA,"R (>= 3.6), CoreGx","BiocGenerics, Biobase, S4Vectors, SummarizedExperiment,
MultiAssayExperiment, BiocParallel, ggplot2, RColorBrewer,
magicaxis, parallel, caTools, methods, downloader, stats,
utils, graphics, grDevices, reshape2, jsonlite, data.table,
checkmate, boot, coop","Rcpp","pander, rmarkdown, knitr, knitcitations, crayon, testthat,
markdown, BiocStyle, R.utils",NA,"GPL (>= 3)",NA,NA,NA,NA,"yes","4.4.2"
"pheatmap","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","1.0.13",NA,"R (>= 2.0)","grid, RColorBrewer, scales, gtable, stats, grDevices, graphics",NA,NA,NA,"GPL-2",NA,NA,NA,NA,"no","4.4.1"
"philentropy","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","0.9.0",NA,"R (>= 3.1.2)","Rcpp, KernSmooth, poorman","Rcpp","testthat, knitr, rmarkdown, microbenchmark",NA,"GPL-2",NA,NA,NA,NA,"yes","4.4.1"
"phyloseq","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","1.50.0",NA,"R (>= 3.3.0)","ade4 (>= 1.7-4), ape (>= 5.0), Biobase (>= 2.36.2),
BiocGenerics (>= 0.22.0), biomformat (>= 1.0.0), Biostrings (>=
2.40.0), cluster (>= 2.0.4), data.table (>= 1.10.4), foreach
(>= 1.4.3), ggplot2 (>= 2.1.0), igraph (>= 1.0.1), methods (>=
3.3.0), multtest (>= 2.28.0), plyr (>= 1.8.3), reshape2 (>=
1.4.1), scales (>= 0.4.0), vegan (>= 2.5)",NA,"BiocStyle (>= 2.4), DESeq2 (>= 1.16.1), genefilter (>= 1.58),
knitr (>= 1.16), magrittr (>= 1.5), metagenomeSeq (>= 1.14),
rmarkdown (>= 1.6), testthat (>= 1.0.2)","doParallel (>= 1.0.10)","AGPL-3",NA,NA,NA,NA,"no","4.4.0"
"phytools","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","2.4-4",NA,"R (>= 3.5.0), ape (>= 5.7), maps","clusterGeneration, coda, combinat, DEoptim, doParallel, expm,
foreach, graphics, grDevices, MASS, methods, mnormt, nlme,
numDeriv, optimParallel, parallel, phangorn (>= 2.3.1),
scatterplot3d, stats, utils",NA,"animation, geiger, plotrix, RColorBrewer, rgl",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.4.1"
"piano","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","2.22.0",NA,"R (>= 3.5)","BiocGenerics, Biobase, gplots, igraph, relations, marray,
fgsea, shiny, DT, htmlwidgets, shinyjs, shinydashboard,
visNetwork, scales, grDevices, graphics, stats, utils, methods",NA,"yeast2.db, rsbml, plotrix, limma, affy, plier, affyPLM,
gtools, biomaRt, snowfall, AnnotationDbi, knitr, rmarkdown,
BiocStyle",NA,"GPL (>=2)",NA,NA,NA,NA,"no","4.4.1"
"pillar","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","1.11.1",NA,NA,"cli (>= 2.3.0), glue, lifecycle, rlang (>= 1.0.2), utf8 (>=
1.1.0), utils, vctrs (>= 0.5.0)",NA,"bit64, DBI, debugme, DiagrammeR, dplyr, formattable, ggplot2,
knitr, lubridate, nanotime, nycflights13, palmerpenguins,
rmarkdown, scales, stringi, survival, testthat (>= 3.1.1),
tibble, units (>= 0.7.2), vdiffr, withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.4.1"
"pingr","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","2.0.5",NA,"R (>= 3.6)","processx, utils",NA,"covr, ps, testthat (>= 3.0.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.4.1"
"PINSPlus","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","2.0.9",NA,"R (>= 2.10)","foreach, entropy , doParallel, matrixStats, Rcpp,
RcppParallel, FNN, cluster, irlba, mclust, impute","Rcpp, RcppArmadillo, RcppParallel","knitr, rmarkdown, survival, markdown",NA,"LGPL",NA,NA,NA,NA,"yes","4.4.1"
"pixmap","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","0.4-14",NA,NA,"methods, graphics, grDevices",NA,NA,NA,"GPL-2",NA,NA,NA,NA,"no","4.4.1"
"pkgbuild","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","1.4.8",NA,"R (>= 3.5)","callr (>= 3.2.0), cli (>= 3.4.0), desc, processx, R6",NA,"covr, cpp11, knitr, Rcpp, rmarkdown, testthat (>= 3.2.0),
withr (>= 2.3.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.4.1"
"pkgconfig","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","2.0.3",NA,NA,"utils",NA,"covr, testthat, disposables (>= 1.0.3)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.4.1"
"pkgdown","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","2.1.3",NA,"R (>= 4.0.0)","bslib (>= 0.5.1), callr (>= 3.7.3), cli (>= 3.6.1), desc (>=
1.4.0), downlit (>= 0.4.4), fontawesome, fs (>= 1.4.0), httr2
(>= 1.0.2), jsonlite, openssl, purrr (>= 1.0.0), ragg (>=
1.4.0), rlang (>= 1.1.4), rmarkdown (>= 2.27), tibble, whisker,
withr (>= 2.4.3), xml2 (>= 1.3.1), yaml",NA,"covr, diffviewer, evaluate (>= 0.24.0), gert, gt, htmltools,
htmlwidgets, knitr (>= 1.50), lifecycle, magick, methods,
pkgload (>= 1.0.2), quarto, rsconnect, rstudioapi, rticles,
sass, testthat (>= 3.1.3), tools",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.4.1"
"pkgKitten","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","0.2.4",NA,NA,NA,NA,"whoami (>= 1.1.0), tinytest, roxygen2",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.4.1"
"pkgload","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","1.4.0",NA,"R (>= 3.4.0)","cli (>= 3.3.0), desc, fs, glue, lifecycle, methods, pkgbuild,
processx, rlang (>= 1.1.1), rprojroot, utils, withr (>= 2.4.3)",NA,"bitops, jsonlite, mathjaxr, pak, Rcpp, remotes, rstudioapi,
testthat (>= 3.2.1.1), usethis",NA,"GPL-3",NA,NA,NA,NA,"no","4.4.0"
"pkgmaker","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","0.32.8",NA,"R (>= 3.0.0), methods, stats, registry","tools, grDevices, utils, graphics, codetools, digest, stringr,
xtable, withr, assertthat",NA,"devtools (>= 0.8), roxygen2, RUnit, testthat, knitr,
rmarkdown, markdown (>= 1.3), yaml, Biobase, datasets,
rbibutils (>= 1.3)",NA,"GPL (>=2)",NA,NA,NA,NA,"no","4.4.0"
"pkgsearch","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","3.1.5",NA,NA,"curl, jsonlite",NA,"covr, memoise, mockery, pillar, pingr (>= 2.0.0), rstudioapi,
shiny, shinyjs, shinyWidgets, testthat (>= 3.0.0), whoami,
withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.4.1"
"PKI","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","0.1-15",NA,"R (>= 2.9.0), base64enc",NA,NA,NA,"gmp","GPL-2 | GPL-3 | file LICENSE",NA,NA,NA,NA,"yes","4.4.1"
"plm","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","2.6-6",NA,"R (>= 3.2.0)","MASS, bdsmatrix, collapse (>= 1.8.9), zoo, nlme, sandwich,
lattice, lmtest, maxLik, Rdpack, Formula, stats",NA,"AER, car, statmod, urca, pder, texreg, knitr, rmarkdown,
fixest, lfe",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.4.1"
"plogr","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","0.2.0",NA,NA,NA,NA,"Rcpp",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.4.1"
"plot3D","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","1.4.2",NA,"R (>= 2.15)","misc3d, stats, graphics, grDevices, methods",NA,NA,NA,"GPL (>= 3.0)",NA,NA,NA,NA,"no","4.4.1"
"plotfunctions","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","1.4",NA,"R (>= 2.10)",NA,NA,"knitr, sp",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.4.1"
